DOI;Título del estudio primario;Ámbitos de los estudios primarios;Modelos;Metodología de la ingeniería de prompts
10.1145/3652620.3687810;Using LLMs for Use Case Modelling of IoT Systems: An Experience Report;Academic;"GPT-4o; Gemini 1.5-flash";"Role prompting; Answer Engineering"
10.1109/ICCCNT61001.2024.10724709;From Problem Descriptions to User Stories: Utilizing Large Language Models through Prompt Chaining;Academic;GPT-3.5-Turbo;"Prompt chaining; Role prompting; Decomposition; Zero-shot"
10.1109/RE63999.2025.00055;Leveraging LLMs for Requirements Engineering Education: How to Approach?;"Academic; Education (no specific tool)";"GPT-4; DeepSeek-R1 (1.5B); Llama 3.2; Phi-4 (14B); Mistral (7B); Gemini (no version specified)";"Few-shot; In-Context Learning; Chain-of-Thoughts; Refine-and-Thought; Answer Engineering"
10.1109/TSE.2025.3572056;RECOVER: Toward Requirements Generation From Stakeholders’ Conversations;"Academic; Industrial (real project and evaluation from experts)";Llama-2 (7B);"Few-shot; In-Context Learning; Answer Engineering"
10.1109/RE63999.2025.00043;LLM-Assisted Requirements Engineering in Agile MDD: Industry Insights and Validation;"Academic; Industrial (real project and evaluation from experts)";GPT-4o;"In-Context Learning; Role prompting; Prompt chaining; Chain-of-Thoughts; Answer Engineering"
10.1109/RE63999.2025.00023;LLM-assisted Extraction of Regulatory Requirements: A Case Study on the GDPR;Academic;"GPT-3.5-Turbo; GPT-4o";"Zero-shot; Chain-of-Thoughts; Retrieval-Augmented Generation; Answer Engineering"
EID(2-s2.0-105017610947);Prompt engineering for facilitating requirement elicitation from multi-format inputs;Academic;GPT (no version specified);"Prompt template; Answer Engineering; Zero-shot; One-shot; Few-shot; Meta-Prompting"
10.1109/RE63999.2025.00077;Building Software Functional Requirements Lists Using RAG with Distinct LLMs in Multiple Interactions;Academic;"Llama; GPT-4o; Claude; Gemini; Mistral";"Zero-shot; Retrieval-Augmented Generation; Prompt chaining"
10.1115/1.4067388;Elicitron: A Large Language Model Agent-Based Simulation Framework for Design Requirements Elicitation;"Academic; Industrial (real project and evaluation from experts)";GPT-4-Turbo;"Role prompting; Zero-shot; Chain-of-Thoughts; Prompnt Chaining; Answer Engineering; Style prompting"
10.1109/ICETSIS61505.2024.10459458;An Automated Model of Software Requirement Engineering Using GPT-3.5;Academic;GPT-3.5;"Zero-shot; Prompt template"
10.29327/1588952.28-11;Exploring LLMs on Supporting the Elicitation of Knowledge for NFR Catalogs: Insights from the Transparency Case;Academic;"ChatGPT-3.5; ChatGPT-4o";"Zero-shot; Few-shot"
10.29327/1588952.28-12;From Elicitation Interviews to Software Requirements: Evaluating LLM Performance in Requirement Generation;Academic;"ChatGPT-4; DeepSeek-V3";"Few-shot; Role prompting; Prompt template; Answer Engineering"
10.5753/sbes.2025.10988;From Real-Time Conversation to User Story: Leveraging Agile Requirements through LLM;"Academic; Industrial (real project and evaluation from experts)";Gemini-2.0 Flash;"Role prompting; Style prompting; Zero-shot; Answer Engineering; Retrieval-Augmented Generation; Prompt chaining"
10.1109/REW57809.2023.00052;On the Use of GPT-4 for Creating Goal Models: An Exploratory Study;Academic;GPT-4;"Zero-shot; Role prompting; Style prompting; Answer Engineering; Prompt chaining"
10.1109/REW57809.2023.00050;MAPE-K Loop-Based Goal Model Generation Using Generative AI;Academic;GPT-4;"Zero-shot; Prompt template; Role prompting; Prompt chaining; Answer Engineering; Self-Criticism; Decomposition"
10.1109/ICSE48619.2023.00139;On-Demand Security Requirements Synthesis with Relational Generative Adversarial Networks;"Academic; Industrial (real project and evaluation from experts)";No-LLM IA generativa;No applicable
10.1016/j.procs.2025.09.167;Persona-driven automated extraction of non-functional requirements using LLM agents;"Academic; Industrial (partial, no industrial validation)";"GPT-4o; o3-mini";"Role prompting; Zero-shot; In-Context Learning; Retrieval-Augmented Generation; Chain-of-Thoughts; Prompt chaining; Answer Engineering"
10.1115/DETC2025-168769;Opportunities and Challenges in Using Large Language Models As Interviewees for User Needs Elicitation in Design Research;Academic;GPT-4o-mini;"Role prompting; Style prompting; Zero-shot; Prompt chaining"
10.1115/DETC2025-169451;Prompt Engineering for Requirements Elicitation: A Comparative Evaluation of Eight Techniques Using O1;Academic;"o1; Llama-3.2-3B, DeekSeep-R1-Distill-Quen-7B-GGUF, Mistral-7B-v0.3";"Zero-shot; One-shot; Few-shot; Chain-of-Thoughts; Tree-of-Thoughts (Decomposition); Self-Consistency; Ensemble Refinement; Choice Shuffle Ensemble"
